# kind	container	item_name	cfg	src_file	dst_file	header_change
method	impl Vault	put_habit_checkin	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/habit.rs	no
method	impl Vault	put_authority_log_entry	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/authority.rs	no
method	impl Vault	get_authority_log_entry	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/authority.rs	no
method	impl Vault	backfill_authority_first_seen_sidecars	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/authority.rs	no
method	impl Vault	authority_fold	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/authority.rs	no
method	impl Vault	apply_authority_log_entry_body	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/authority.rs	no
method	impl Vault	put_access_grant	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/access_grant.rs	no
method	impl Vault	create_access_grant	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/access_grant.rs	no
method	impl Vault	revoke_access_grant	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/access_grant.rs	no
method	impl Vault	get_access_grant	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/access_grant.rs	no
method	impl Vault	write_access_grant_body	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/access_grant.rs	no
method	impl Vault	apply_access_grant_body	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/access_grant.rs	no
method	impl Vault	mint_standing_outbound_grant	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/outbound_grant.rs	no
method	impl Vault	revoke_standing_outbound_grant	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/outbound_grant.rs	no
method	impl Vault	get_standing_outbound_grant	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/outbound_grant.rs	no
method	impl Vault	apply_standing_outbound_grant_body	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/outbound_grant.rs	no
method	impl Vault	create_channel_identity	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/channel_identity.rs	no
method	impl Vault	create_own_app_channel_identity	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/channel_identity.rs	no
method	impl Vault	transition_channel_identity	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/channel_identity.rs	no
method	impl Vault	get_channel_identity	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/channel_identity.rs	no
method	impl Vault	channel_identity_by_assignment	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/channel_identity.rs	no
method	impl Vault	channel_identity_assignment_conflict_in_txn	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/channel_identity.rs	no
method	impl Vault	apply_channel_identity_body	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/channel_identity.rs	no
method	impl Vault	create_counterparty_contact	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/counterparty_contact.rs	no
method	impl Vault	opt_out_counterparty_contact	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/counterparty_contact.rs	no
method	impl Vault	revoke_counterparty_contact	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/counterparty_contact.rs	no
method	impl Vault	get_counterparty_contact	-	crates/oneiron/src/vault.rs	crates/oneiron/src/vault/counterparty_contact.rs	no
