# kind	container	item_name	cfg	src_file	dst_file	header_change
method	impl Vault	put_claim	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	put_claim_candidate_without_lexical_query_reconcile	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	supersede_claim_for_code_run_trap	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	put_edge_for_code_run_trap	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	validate_code_run_write_actor_binding_in_txn	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	check_code_run_write_gate_in_txn	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	get_claim	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	get_claim_in_txn	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	claims_for_subject	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	claims_for_subject_in_txn	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	claim_bodies_for_subjects_matching	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	claim_for_lifecycle_in	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	require_active_claim	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	require_source_trust_supersession_rights	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	supersede_claim	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	supersede_claim_in_txn	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	retract_claim	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
method	impl Vault	claim_facet_refs_in	-	crates/oneiron/src/vault.rs	crates/oneiron/src/claim.rs	no
